index,adult_occupant_protection,child_occupant_protection,vulnerable_road_user_protection,safety_assist,name,num_stars,rating_year,url
0,86.0,89.0,67.0,84.0,Mazda BT-50,5,Jul 2022 - onwards,https://www.ancap.com.au/safety-ratings/mazda/bt-50/d7c175
1,93.0,87.0,68.0,74.0,Mazda MX-30,5,Jan 2021 - onwards,https://www.ancap.com.au/safety-ratings/mazda/mx-30/da006c
2,98.0,89.0,81.0,76.0,Mazda 3,5,Apr 2019 - onwards,https://www.ancap.com.au/safety-ratings/mazda/3/8fa82b
3,99.0,88.0,80.0,76.0,Mazda CX-30,5,Feb 2020 - onwards,https://www.ancap.com.au/safety-ratings/mazda/cx-30/dc6684
4,95.0,91.0,66.0,73.0,Mazda 6,5,Jun 2018 - onwards,https://www.ancap.com.au/safety-ratings/mazda/6/ac206f
5,96.0,87.0,72.0,73.0,Mazda CX-8,5,Jul 2018 - onwards,https://www.ancap.com.au/safety-ratings/mazda/cx-8/add913
6,95.0,80.0,78.0,59.0,Mazda CX-5,5,Apr 2017 - onwards,https://www.ancap.com.au/safety-ratings/mazda/cx-5/f239a6
